Id,Weight_Daily,Weight_Intraday
1,1564384.9571008256,1251507.9656806604
2,2167437.936330989,1733950.3490647913
3,1911496.72893831,1529197.383150648
4,2139461.779618333,1711569.4236946662
5,1584087.8309427903,1267270.2647542323
6,1788887.5049624038,1431110.0039699231
7,2148957.5050218664,1719166.0040174932
8,1687396.1956286638,1349916.956502931
9,1920849.4694709813,1536679.575576785
10,1713504.6418646974,1370803.7134917579
11,1906292.669811932,1525034.1358495457
12,1911902.7055767318,1529522.164461385
13,2267163.9321323177,1813731.1457058543
14,1825101.2311341912,1460080.9849073528
15,1944956.420318209,1555965.1362545674
16,1779317.6250176332,1423454.100014106
17,2326546.10007704,1861236.8800616318
18,1795302.9609557218,1436242.3687645774
19,2093757.0319093768,1675005.6255275013
20,2118813.6253622486,1695050.9002897989
21,1889896.932879016,1511917.5463032122
22,1813385.349116373,1450708.2792930987
23,1876938.9625562544,1501551.1700450038
24,1510644.533119394,1208515.6264955152
25,2223415.050524426,1778732.0404195408
26,1891416.277050081,1513133.0216400647
27,1946469.5636332687,1557175.650906615
28,1675505.6015974688,1340404.481277975
29,1680992.1679352366,1344793.7343481893
30,2369135.807398931,1895308.6459191446
31,2198088.7838882552,1758471.0271106043
32,1863787.7546312683,1491030.2037050147
33,1965714.404998225,1572571.52399858
34,2147187.4041362205,1717749.9233089762
35,1949410.2884004992,1559528.230720399
36,1527238.9344043562,1221791.1475234851
37,2024235.9501005816,1619388.7600804653
38,1731530.5998981763,1385224.479918541
39,2064952.7149228498,1651962.17193828
40,2360734.6321644327,1888587.7057315463
41,1983082.7885442425,1586466.230835394
42,1967636.8138509246,1574109.45108074
43,1855343.538831537,1484274.8310652294
44,1987192.4188725576,1589753.935098046
45,2052776.6399363338,1642221.3119490668
46,1810330.8894848432,1448264.7115878747
47,1920708.9708048648,1536567.1766438924
48,2206539.7071491643,1765231.7657193309
49,2131013.914800295,1704811.1318402363
50,2344039.1510918965,1875231.3208735168
51,2227886.997208908,1782309.597767126
52,1900287.7652616939,1520230.2122093546
53,2608749.8388721943,2086999.8710977559
54,1852424.2700874528,1481939.4160699619
55,1801199.7137430229,1440959.7709944185
56,1676641.4112570346,1341313.1290056277
57,2080450.25418994,1664360.203351952
58,1651564.191427499,1321251.353141999
59,2223265.752521737,1778612.60201739
60,1708613.6071476662,1366890.885718133
61,1596177.3915240634,1276941.9132192507
62,1885153.4258670008,1508122.7406936006
63,2156047.861849611,1724838.289479689
64,1965370.279672268,1572296.223737814
65,2148137.504602931,1718510.003682345
66,1824516.858952937,1459613.4871623497
67,2147978.41184402,1718382.7294752162
68,1520345.2122307094,1216276.1697845676
69,1461098.6650880412,1168878.932070433
70,1554976.2393050808,1243980.9914440648
71,2168945.839718148,1735156.6717745184
72,2075491.5514762115,1660393.2411809692
73,1855535.8517268558,1484428.6813814843
74,1778496.0461658118,1422796.8369326494
75,1752765.6212339662,1402212.4969871729
76,1816953.5634825274,1453562.850786022
77,1925853.7457603263,1540682.9966082613
78,2044405.4421138687,1635524.353691095
79,2076373.988534063,1661099.1908272502
80,1773689.1953492875,1418951.35627943
81,1783976.1902562138,1427180.9522049709
82,1958738.4664459743,1566990.7731567796
83,2528032.7328231274,2022426.1862585016
84,1771405.3747234412,1417124.2997787532
85,2051302.896224941,1641042.3169799524
86,1905999.2264812344,1524799.3811849873
87,2232127.957417557,1785702.365934046
88,2027351.1907727527,1621880.9526182024
89,1967749.005108053,1574199.2040864425
90,1935595.8325594286,1548476.666047543
91,1788378.2912250704,1430702.6329800563
92,1864302.6869783788,1491442.1495827031
93,1465118.6078269246,1172094.88626154
94,1927279.7986196969,1541823.8388957581
95,2264551.4710305817,1811641.1768244656
96,1946781.9563525487,1557425.565082039
97,1463194.4153948186,1170555.532315855
98,1629842.5501849146,1303874.0401479318
99,1586421.1509797731,1269136.9207838185
100,2266120.1276681777,1812896.1021345425
101,1661225.7946998244,1328980.6357598596
102,2267545.831320988,1814036.6650567902
103,1835051.9505181368,1468041.5604145094
104,1759203.260561355,1407362.608449084
105,1580896.880325555,1264717.504260444
106,1814801.8603268769,1451841.4882615015
107,1569906.3594320503,1255925.0875456405
108,1772460.3303800644,1417968.2643040516
109,1701342.6756633348,1361074.1405306677
110,2290873.215712166,1832698.5725697328
111,1889369.542999454,1511495.634399563
112,1435963.5073373385,1148770.8058698708
113,1838444.020976147,1470755.2167809173
114,1679257.123747433,1343405.698997947
115,1774103.2580597196,1419282.6064477756
116,2130752.5870811073,1704602.069664886
117,1948804.698871346,1559043.759097077
118,2173569.247462206,1738855.397969765
119,1792982.288630507,1434385.8309044056
120,2207743.357707538,1766194.6861660306
121,1995416.030641315,1596332.824513052
122,2150924.054835084,1720739.243868067
123,1998657.722638011,1598926.1781104088
124,1634192.6292920215,1307354.1034336172
125,1863350.2485550703,1490680.1988440559
126,2277111.755720701,1821689.404576561
127,1692369.847379294,1353895.8779034354
128,1755220.1181586953,1404176.0945269563
129,1781533.4112236518,1425226.7289789217
130,1837925.7361462663,1470340.588917013
131,1890033.2750287347,1512026.6200229875
132,1951830.174664508,1561464.1397316062
133,1725774.8724994785,1380619.8979995826
134,1790646.165165392,1432516.9321323137
135,1659847.5248189406,1327878.0198551523
136,1902672.1270700628,1522137.7016560503
137,1839482.9404406329,1471586.3523525062
138,2489188.795556221,1991351.036444976
139,1924075.4289024768,1539260.3431219815
140,1705315.9078926346,1364252.7263141077
141,2283178.279628876,1826542.623703101
142,1793162.8537268322,1434530.282981466
143,1841161.8887868288,1472929.5110294628
144,2285162.1405746527,1828129.7124597225
145,1917231.31724692,1533785.0537975358
146,1581226.5433522242,1264981.234681779
147,2115560.5160915684,1692448.4128732546
148,1765721.675010851,1412577.3400086802
149,1665044.78066846,1332035.824534768
150,1630127.2590290415,1304101.8072232334
151,1851014.097741058,1480811.2781928466
152,2203826.945301736,1763061.5562413891
153,1782457.3085781955,1425965.8468625562
154,2148350.893376667,1718680.7147013338
155,1920938.5398648884,1536750.8318919106
156,2251884.947333907,1801507.9578671253
157,1648297.4732617368,1318637.9786093894
158,1723840.5118233291,1379072.409458663
159,1683258.521584696,1346606.8172677571
160,2409950.714319293,1927960.571455435
161,2194820.32169692,1755856.2573575357
162,3038881.48787736,2431105.190301888
163,1488276.67513926,1190621.340111408
164,1845325.7954189319,1476260.6363351452
165,1924451.0988105417,1539560.8790484334
166,2034291.634343904,1627433.3074751224
167,1785112.082142517,1428089.6657140134
168,1577272.026465297,1261817.6211722374
169,1603473.8806595528,1282779.1045276423
170,1868217.94606358,1494574.3568508637
171,1989646.2291429138,1591716.983314331
172,2043898.3920631325,1635118.713650506
173,1702728.0594286853,1362182.4475429482
174,1697763.255602783,1358210.6044822263
175,2012170.9780023345,1609736.7824018674
176,2145843.893060349,1716675.1144482791
177,2099307.5474002296,1679446.0379201837
178,1951496.4557656003,1561197.1646124802
179,1712777.126153275,1370221.70092262
180,2172788.3382677007,1738230.6706141608
181,1558424.3001388444,1246739.4401110755
182,2374946.47681098,1899957.181448784
183,1841372.4542687745,1473097.9634150194
184,1605700.4072652068,1284560.3258121654
185,1738230.9321264387,1390584.745701151
186,1966465.4510116403,1573172.3608093122
187,1643739.927910511,1314991.9423284088
188,1738169.2191920124,1390535.37535361
189,2599429.985966165,2079543.988772932
190,2088742.7694412281,1670994.2155529824
191,1706355.6498626594,1365084.5198901277
192,2386119.210139024,1908895.36811122
193,2231344.731041129,1785075.7848329034
194,2106094.0000015525,1684875.2000012419
195,1643768.8167776344,1315015.0534221076
196,1936963.7469974144,1549570.9975979312
197,2082418.6260599487,1665934.9008479598
198,1670675.4384661275,1336540.3507729021
199,1572968.5064264324,1258374.8051411458
200,2040338.023895344,1632270.4191162747
201,2524443.3277940946,2019554.6622352758
202,2401025.877828339,1920820.702262672
203,1539208.3957537222,1231366.7166029778
204,2082732.8349333485,1666186.2679466787
205,1836384.6700794827,1469107.7360635858
206,1860852.7826208188,1488682.226096655
207,2002227.1641391148,1601781.731311292
208,1446167.1797630459,1156933.743810437
209,2082090.881557677,1665672.7052461416
210,2172201.061609784,1737760.8492878268
211,1760766.8447310473,1408613.4757848375
212,1667811.3692736498,1334249.0954189196
213,1879251.880045094,1503401.5040360752
214,1684987.4273399578,1347989.9418719662
215,1726173.2092210685,1380938.5673768546
216,1466569.9588378726,1173255.967070298
217,1944828.726671587,1555862.981337269
218,1717092.0271808547,1373673.6217446835
219,1783433.1427731153,1426746.5142184922
220,2177053.8593495768,1741643.0874796612
221,1905099.2603429968,1524079.4082743975
222,1824723.89076083,1459779.112608664
223,2460900.405508298,1968720.3244066385
224,1653367.0299883594,1322693.6239906875
225,2160611.1638827207,1728488.9311061762
226,2464730.0368411145,1971784.029472892
227,1756278.3103412185,1405022.6482729744
228,2275723.5317713576,1820578.8254170862
229,2132703.652828232,1706162.9222625857
230,1807061.466642957,1445649.1733143656
231,2097737.763036492,1678190.2104291937
232,2155843.03003549,1724674.4240283922
233,1740553.275843907,1392442.6206751254
234,1911581.4220429573,1529265.137634366
235,2363641.3655840317,1890913.0924672254
236,1731123.325705926,1384898.660564741
237,1740614.2006858613,1392491.360548689
238,1744291.681104449,1395433.3448835595
239,1991871.2211283185,1593496.9769026546
240,1827714.887199651,1462171.909759721
241,1918163.7552502817,1534531.0042002252
242,1859027.818867557,1487222.255094046
243,1765847.8770013412,1412678.3016010732
244,2326597.018334582,1861277.6146676647
245,1510341.669896941,1208273.3359175527
246,1928420.0502436296,1542736.0401949037
247,1650421.3318859248,1320337.0655087396
248,1784677.1761450209,1427741.740916017
249,1934078.9801342909,1547263.1841074328
250,1933031.2022266518,1546424.9617813213
251,2331391.4081446407,1865113.126515713
252,1969295.9225949931,1575436.738075994
253,1842571.1303728225,1474056.904298258
254,2054251.450640931,1643401.1605127447
255,1678453.0283544827,1342762.422683586
256,1887117.5626259772,1509694.0501007822
257,2207292.130703505,1765833.704562804
258,2182201.318484297,1745761.0547874381
259,1715734.791315212,1372587.8330521695
260,2198849.776630199,1759079.821304159
261,1667826.1566303459,1334260.9253042769
262,1631074.9632005137,1304859.9705604108
263,2132810.6537138456,1706248.5229710762
264,2196840.603027108,1757472.4824216862
265,2346891.717963466,1877513.3743707729
266,2176826.260009719,1741461.0080077753
267,1692073.371323515,1353658.697058812
